key,value,reference value,description
inapp_portal.home.footer,,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help
inapp_portal.home.account.link_text,,Account Information,Account Information
inapp_portal.home.address.link_text,,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.home.payment_methods.link_text,,Payment Methods,Payment Methods
inapp_portal.home.billing_history.link_text,,Billing History,Billing History
inapp_portal.back,,Back,Back
inapp_portal.subscription.header,,Subscription Details,Subscription Details
inapp_portal.subscription.header.edit,,Edit Subscription Details,Edit Subscription Details
inapp_portal.subscription.header.review,,Review subscription changes,Review subscription changes
inapp_portal.account.header,,Account Details,Account Details
inapp_portal.account.edit.txt,,Editing account details,Editing account details
inapp_portal.account.header.edit,,Update your account details,Update your account details
inapp_portal.account.header.edit.submit,,Update,Update
inapp_portal.address.header,,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.address.billing.txt,,Billing,Billing
inapp_portal.address.billing.edit.txt,,Editing billing details,Editing billing details
inapp_portal.address.billing.add.txt,,Add your billing details,Add your billing details
inapp_portal.address.shipping.txt,,Shipping,Shipping
inapp_portal.address.shipping.edit.txt,,Editing shipping details,Editing shipping details
inapp_portal.address.billing.header.edit,,Update your billing details,Update your billing details
inapp_portal.address.billing.header.edit.submit,,Update,Update
inapp_portal.address.shipping.header.edit,,Update your shipping details,Update your shipping details
inapp_portal.address.shipping.header.edit.submit,,Update,Update
inapp_portal.payment_method.header,,Payment Methods,Payment Methods
inapp_portal.payment_method.link.add,,Add New,Add New
inapp_portal.payment_method.link.add_new,,Add a payment method,Add a payment method
inapp_portal.payment_method.header.add,,Add a payment method,Add a payment method
inapp_portal.payment_method.header.select,,Select a payment method,Select a payment method
inapp_portal.payment_method.footer.choose,,Choose a different payment method,Choose a different payment method
inapp_portal.payment_method.header.add.submit,,Add,Add
inapp_portal.payment_method.header.edit,,Update your payment method,Update your payment method
inapp_portal.payment_method.header.edit.submit,,Update,Update
inapp_portal.payment_method.header.verify,,Verify payment method,Verify payment method
inapp_portal.payment_method.header.verify.submit,,Verify,Verify
inapp_portal.billing_history.header,,Billing history,Billing history
inapp_portal.billing_history.download,,Download,Download
inapp_portal.billing_history.none,,No invoices to display,No invoices to display
inapp_portal.subscription.header.edit.submit,,Review,Review
inapp_portal.subscription.header.review.submit,,Update Subscription,Update Subscription
